Oil tanker	Ship types
Estrée-Cauchy	Communes in Pas-de-Calais
Estrée-Wamin	Communes in Pas-de-Calais
Estréelles	Communes in Pas-de-Calais
Famechon, Pas-de-Calais	Communes in Pas-de-Calais
Fampoux	Communes in Pas-de-Calais
Farbus	Communes in Pas-de-Calais
Fauquembergues	Communes in Pas-de-Calais
Favreuil	Communes in Pas-de-Calais
Febvin-Palfart	Communes in Pas-de-Calais
Ferfay	Communes in Pas-de-Calais
Ferques	Communes in Pas-de-Calais
Festubert	Communes in Pas-de-Calais
Feuchy	Communes in Pas-de-Calais
Ficheux	Communes in Pas-de-Calais
Fiefs, Pas-de-Calais	Communes in Pas-de-Calais
Fiennes, Pas-de-Calais	Communes in Pas-de-Calais
Fillièvres	Communes in Pas-de-Calais
Flers, Pas-de-Calais	Communes in Pas-de-Calais
Fleurbaix	Communes in Pas-de-Calais
Fleury, Pas-de-Calais	Communes in Pas-de-Calais
Floringhem	Communes in Pas-de-Calais
Fléchin	Communes in Pas-de-Calais
Foncquevillers	Communes in Pas-de-Calais
Fontaine-l'Étalon	Communes in Pas-de-Calais
Fontaine-lès-Boulans	Communes in Pas-de-Calais
Fontaine-lès-Croisilles	Communes in Pas-de-Calais
Fontaine-lès-Hermans	Communes in Pas-de-Calais
Fortel-en-Artois	Communes in Pas-de-Calais
Fosseux	Communes in Pas-de-Calais
Foufflin-Ricametz	Communes in Pas-de-Calais
Fouquereuil	Communes in Pas-de-Calais
Fouquières-lès-Béthune	Communes in Pas-de-Calais
Fouquières-lès-Lens	Communes in Pas-de-Calais
Framecourt	Communes in Pas-de-Calais
Frencq	Communes in Pas-de-Calais
Fresnes-lès-Montauban	Communes in Pas-de-Calais
Fresnicourt-le-Dolmen	Communes in Pas-de-Calais
Fresnoy	Communes in Pas-de-Calais
Fresnoy-en-Gohelle	Communes in Pas-de-Calais
Fressin	Communes in Pas-de-Calais
Fruges	Communes in Pas-de-Calais
Frémicourt	Communes in Pas-de-Calais
Fréthun	Communes in Pas-de-Calais
Frévent	Communes in Pas-de-Calais
Frévillers	Communes in Pas-de-Calais
Frévin-Capelle	Communes in Pas-de-Calais
Galametz	Communes in Pas-de-Calais
Gauchin-Légal	Communes in Pas-de-Calais
Gauchin-Verloingt	Communes in Pas-de-Calais
Gaudiempré	Communes in Pas-de-Calais
Gavrelle	Communes in Pas-de-Calais
Gennes-Ivergny	Communes in Pas-de-Calais
Givenchy-en-Gohelle	Communes in Pas-de-Calais
Givenchy-le-Noble	Communes in Pas-de-Calais
Givenchy-lès-la-Bassée	Communes in Pas-de-Calais
Gomiécourt	Communes in Pas-de-Calais
Gommecourt, Pas-de-Calais	Communes in Pas-de-Calais
Gonnehem	Communes in Pas-de-Calais
Gosnay	Communes in Pas-de-Calais
Gouves	Communes in Pas-de-Calais
Gouy-Saint-André	Communes in Pas-de-Calais
Gouy-Servins	Communes in Pas-de-Calais
Gouy-en-Artois	Communes in Pas-de-Calais
Gouy-en-Ternois	Communes in Pas-de-Calais
Gouy-sous-Bellonne	Communes in Pas-de-Calais
Graincourt-lès-Havrincourt	Communes in Pas-de-Calais
Grand-Rullecourt	Communes in Pas-de-Calais
Grenay, Pas-de-Calais	Communes in Pas-de-Calais
Grigny, Pas-de-Calais	Communes in Pas-de-Calais
Grincourt-lès-Pas	Communes in Pas-de-Calais
Groffliers	Communes in Pas-de-Calais
Grévillers	Communes in Pas-de-Calais
Guarbecque	Communes in Pas-de-Calais
Guemps	Communes in Pas-de-Calais
Guigny	Communes in Pas-de-Calais
Guinecourt	Communes in Pas-de-Calais
Guisy	Communes in Pas-de-Calais
Guémappe	Communes in Pas-de-Calais
Guînes	Communes in Pas-de-Calais
Habarcq	Communes in Pas-de-Calais
Haillicourt	Communes in Pas-de-Calais
Haisnes	Communes in Pas-de-Calais
Halinghen	Communes in Pas-de-Calais
Hallines	Communes in Pas-de-Calais
Halloy, Pas-de-Calais	Communes in Pas-de-Calais
Ham-en-Artois	Communes in Pas-de-Calais
Hamblain-les-Prés	Communes in Pas-de-Calais
Hamelincourt	Communes in Pas-de-Calais
Hames-Boucres	Communes in Pas-de-Calais
Hannescamps	Communes in Pas-de-Calais
Haplincourt	Communes in Pas-de-Calais
Haravesnes	Communes in Pas-de-Calais
Hardinghen	Communes in Pas-de-Calais
Harnes	Communes in Pas-de-Calais
Haucourt, Pas-de-Calais	Communes in Pas-de-Calais
Haut-Loquin	Communes in Pas-de-Calais
Haute-Avesnes	Communes in Pas-de-Calais
Hautecloque, Pas-de-Calais	Communes in Pas-de-Calais
Hauteville, Pas-de-Calais	Communes in Pas-de-Calais
Havrincourt	Communes in Pas-de-Calais
Helfaut	Communes in Pas-de-Calais
Hendecourt-lès-Cagnicourt	Communes in Pas-de-Calais
Hendecourt-lès-Ransart	Communes in Pas-de-Calais
Henneveux	Communes in Pas-de-Calais
Herbelles	Former communes in Pas-de-Calais
Herbinghen	Communes in Pas-de-Calais
Herlin-le-Sec	Communes in Pas-de-Calais
Herlincourt	Communes in Pas-de-Calais
Herly, Pas-de-Calais	Communes in Pas-de-Calais
Hermaville	Communes in Pas-de-Calais
Hermelinghen	Communes in Pas-de-Calais
Hermies	Communes in Pas-de-Calais
Hermin	Communes in Pas-de-Calais
Hernicourt	Communes in Pas-de-Calais
Hersin-Coupigny	Communes in Pas-de-Calais
Hervelinghen	Communes in Pas-de-Calais
Hesdigneul-lès-Boulogne	Communes in Pas-de-Calais
Hesdigneul-lès-Béthune	Communes in Pas-de-Calais
Hesdin	Communes in Pas-de-Calais
Hesdin-l'Abbé	Communes in Pas-de-Calais
Hesmond	Communes in Pas-de-Calais
Roundhay	Leeds
Hestrus	Communes in Pas-de-Calais
Heuchin	Communes in Pas-de-Calais
Heuringhem	Communes in Pas-de-Calais
Hinges, Pas-de-Calais	Communes in Pas-de-Calais
Hocquinghen	Communes in Pas-de-Calais
Houchin	Communes in Pas-de-Calais
Houdain	Communes in Pas-de-Calais
Houlle	Communes in Pas-de-Calais
Houvin-Houvigneul	Communes in Pas-de-Calais
Hubersent	Communes in Pas-de-Calais
Huby-Saint-Leu	Communes in Pas-de-Calais
Huclier	Communes in Pas-de-Calais
Hucqueliers	Communes in Pas-de-Calais
Hulluch	Communes in Pas-de-Calais
Humbercamps	Communes in Pas-de-Calais
Humbert, Pas-de-Calais	Communes in Pas-de-Calais
Humerœuille	Communes in Pas-de-Calais
Humières	Communes in Pas-de-Calais
Hébuterne	Communes in Pas-de-Calais
Hénin-Beaumont	Communes in Pas-de-Calais
Hénin-sur-Cojeul	Communes in Pas-de-Calais
Héninel	Communes in Pas-de-Calais
Hénu	Communes in Pas-de-Calais
Héricourt, Pas-de-Calais	Communes in Pas-de-Calais
Hézecques	Communes in Pas-de-Calais
Inchy-en-Artois	Communes in Pas-de-Calais
Incourt, Pas-de-Calais	Communes in Pas-de-Calais
Inghem	Former communes in Pas-de-Calais
Inxent	Communes in Pas-de-Calais
Isbergues	Communes in Pas-de-Calais
Isques	Communes in Pas-de-Calais
Ivergny	Communes in Pas-de-Calais
Izel-lès-Hameau	Communes in Pas-de-Calais
Izel-lès-Équerchin	Communes in Pas-de-Calais
Journy	Communes in Pas-de-Calais
La Calotterie	Communes in Pas-de-Calais
La Capelle-lès-Boulogne	Communes in Pas-de-Calais
La Cauchie	Communes in Pas-de-Calais
La Comté	Communes in Pas-de-Calais
La Couture, Pas-de-Calais	Communes in Pas-de-Calais
La Herlière	Communes in Pas-de-Calais
La Loge	Communes in Pas-de-Calais
La Madelaine-sous-Montreuil	Communes in Pas-de-Calais
La Thieuloye	Communes in Pas-de-Calais
Labeuvrière	Communes in Pas-de-Calais
Labourse	Communes in Pas-de-Calais
Labroye	Communes in Pas-de-Calais
Lacres	Communes in Pas-de-Calais
Lagnicourt-Marcel	Communes in Pas-de-Calais
Laires	Communes in Pas-de-Calais
Lambres	Communes in Pas-de-Calais
Landrethun-le-Nord	Communes in Pas-de-Calais
Landrethun-lès-Ardres	Communes in Pas-de-Calais
Lapugnoy	Communes in Pas-de-Calais
Lattre-Saint-Quentin	Communes in Pas-de-Calais
Laventie	Communes in Pas-de-Calais
Le Parcq	Communes in Pas-de-Calais
Le Ponchel	Communes in Pas-de-Calais
Le Portel	Communes in Pas-de-Calais
Le Quesnoy-en-Artois	Communes in Pas-de-Calais
Le Sars	Communes in Pas-de-Calais
Le Souich	Communes in Pas-de-Calais
Le Touquet	Communes in Pas-de-Calais
Le Transloy	Communes in Pas-de-Calais
Le Wast	Communes in Pas-de-Calais
Lebiez	Communes in Pas-de-Calais
Lebucquière	Communes in Pas-de-Calais
Ledinghem	Communes in Pas-de-Calais
Lefaux	Communes in Pas-de-Calais
Leforest	Communes in Pas-de-Calais
Les Attaques	Communes in Pas-de-Calais
Lespesses	Communes in Pas-de-Calais
Lespinoy	Communes in Pas-de-Calais
Lestrem	Communes in Pas-de-Calais
Leubringhen	Communes in Pas-de-Calais
Leulinghem	Communes in Pas-de-Calais
Leulinghen-Bernes	Communes in Pas-de-Calais
Libercourt	Communes in Pas-de-Calais
Licques	Communes in Pas-de-Calais
Liencourt	Communes in Pas-de-Calais
Liettres	Communes in Pas-de-Calais
Lignereuil	Communes in Pas-de-Calais
Ligny-Saint-Flochel	Communes in Pas-de-Calais
Ligny-Thilloy	Communes in Pas-de-Calais
Ligny-lès-Aire	Communes in Pas-de-Calais
Ligny-sur-Canche	Communes in Pas-de-Calais
Lillers	Communes in Pas-de-Calais
Linghem	Communes in Pas-de-Calais
Linzeux	Communes in Pas-de-Calais
Lisbourg	Communes in Pas-de-Calais
Lières	Communes in Pas-de-Calais
Liévin	Communes in Pas-de-Calais
Locon	Communes in Pas-de-Calais
Loison-sous-Lens	Communes in Pas-de-Calais
Loison-sur-Créquoise	Communes in Pas-de-Calais
Longfossé	Communes in Pas-de-Calais
Longuenesse	Communes in Pas-de-Calais
Longueville, Pas-de-Calais	Communes in Pas-de-Calais
Longvilliers, Pas-de-Calais	Communes in Pas-de-Calais
Loos-en-Gohelle	Communes in Pas-de-Calais
Lorgies	Communes in Pas-de-Calais
Lottinghen	Communes in Pas-de-Calais
Louches	Communes in Pas-de-Calais
Lozinghem	Communes in Pas-de-Calais
Lugy	Communes in Pas-de-Calais
Lumbres	Communes in Pas-de-Calais
Léchelle, Pas-de-Calais	Communes in Pas-de-Calais
Lépine	Communes in Pas-de-Calais
Magnicourt-en-Comte	Communes in Pas-de-Calais
Magnicourt-sur-Canche	Communes in Pas-de-Calais
Maintenay	Communes in Pas-de-Calais
Maisnil	Communes in Pas-de-Calais
Maisnil-lès-Ruitz	Communes in Pas-de-Calais
Maisoncelle	Communes in Pas-de-Calais
Maizières, Pas-de-Calais	Communes in Pas-de-Calais
Mametz, Pas-de-Calais	Communes in Pas-de-Calais
Manin, Pas-de-Calais	Communes in Pas-de-Calais
Maninghem	Communes in Pas-de-Calais
Maninghen-Henne	Communes in Pas-de-Calais
Marant	Communes in Pas-de-Calais
Marck, Pas-de-Calais	Communes in Pas-de-Calais
Marconne	Communes in Pas-de-Calais
Marconnelle	Communes in Pas-de-Calais
Marenla	Communes in Pas-de-Calais
Maresquel-Ecquemicourt	Communes in Pas-de-Calais
Marest	Communes in Pas-de-Calais
Maresville	Communes in Pas-de-Calais
Marles-les-Mines	Communes in Pas-de-Calais
Marles-sur-Canche	Communes in Pas-de-Calais
Marquay, Pas-de-Calais	Communes in Pas-de-Calais
Marquion	Communes in Pas-de-Calais
Marquise, Pas-de-Calais	Communes in Pas-de-Calais
Martinpuich	Communes in Pas-de-Calais
Marœuil	Communes in Pas-de-Calais
Matringhem	Communes in Pas-de-Calais
Mazingarbe	Communes in Pas-de-Calais
Mazinghem	Communes in Pas-de-Calais
Mencas	Communes in Pas-de-Calais
Menneville, Pas-de-Calais	Communes in Pas-de-Calais
Mentque-Nortbécourt	Communes in Pas-de-Calais
Mercatel	Communes in Pas-de-Calais
Merck-Saint-Liévin	Communes in Pas-de-Calais
Merlimont	Communes in Pas-de-Calais
Metz-en-Couture	Communes in Pas-de-Calais
Meurchin	Communes in Pas-de-Calais
Mingoval	Communes in Pas-de-Calais
Roundhay Park	Leeds
Moncheaux-lès-Frévent	Communes in Pas-de-Calais
Monchel-sur-Canche	Communes in Pas-de-Calais
Monchiet	Communes in Pas-de-Calais
Monchy-Breton	Communes in Pas-de-Calais
Monchy-Cayeux	Communes in Pas-de-Calais
Monchy-au-Bois	Communes in Pas-de-Calais
Monchy-le-Preux	Communes in Pas-de-Calais
Mondicourt	Communes in Pas-de-Calais
Mont-Bernanchon	Communes in Pas-de-Calais
Mont-Saint-Éloi	Communes in Pas-de-Calais
Montcavrel	Communes in Pas-de-Calais
Montenescourt	Communes in Pas-de-Calais
Montigny-en-Gohelle	Communes in Pas-de-Calais
Montreuil, Pas-de-Calais	Communes in Pas-de-Calais, Subprefectures in France
Monts-en-Ternois	Communes in Pas-de-Calais
Morchies	Communes in Pas-de-Calais
Moringhem	Communes in Pas-de-Calais
Morval	Communes in Pas-de-Calais
Mory, Pas-de-Calais	Communes in Pas-de-Calais
Moulle	Communes in Pas-de-Calais
Mouriez	Communes in Pas-de-Calais
Moyenneville, Pas-de-Calais	Communes in Pas-de-Calais
Muncq-Nieurlet	Communes in Pas-de-Calais
Méricourt, Pas-de-Calais	Communes in Pas-de-Calais
Nabringhen	Communes in Pas-de-Calais
Nempont-Saint-Firmin	Communes in Pas-de-Calais
Nesles	Communes in Pas-de-Calais
Neufchâtel-Hardelot	Communes in Pas-de-Calais
Neulette	Communes in Pas-de-Calais
Neuve-Chapelle	Communes in Pas-de-Calais
Neuville-Bourjonval	Communes in Pas-de-Calais
Neuville-Saint-Vaast	Communes in Pas-de-Calais
Neuville-Vitasse	Communes in Pas-de-Calais
Neuville-au-Cornet	Communes in Pas-de-Calais
Neuville-sous-Montreuil	Communes in Pas-de-Calais
Neuvireuil	Communes in Pas-de-Calais
Nielles-lès-Ardres	Communes in Pas-de-Calais
Nielles-lès-Bléquin	Communes in Pas-de-Calais
Nielles-lès-Calais	Communes in Pas-de-Calais
Nordausques	Communes in Pas-de-Calais
Noreuil	Communes in Pas-de-Calais
Norrent-Fontes	Communes in Pas-de-Calais
Nort-Leulinghem	Communes in Pas-de-Calais
Nortkerque	Communes in Pas-de-Calais
Nouvelle-Église	Communes in Pas-de-Calais
Noyelle-Vion	Communes in Pas-de-Calais
Noyelles-Godault	Communes in Pas-de-Calais
Noyelles-lès-Humières	Communes in Pas-de-Calais
Noyelles-lès-Vermelles	Communes in Pas-de-Calais
Noyelles-sous-Bellonne	Communes in Pas-de-Calais
Noyelles-sous-Lens	Communes in Pas-de-Calais
Noyellette	Communes in Pas-de-Calais
Nuncq-Hautecôte	Communes in Pas-de-Calais
Nédon	Communes in Pas-de-Calais
Nédonchel	Communes in Pas-de-Calais
Nœux-les-Mines	Communes in Pas-de-Calais
Nœux-lès-Auxi	Communes in Pas-de-Calais
Oblinghem	Communes in Pas-de-Calais
Offekerque	Communes in Pas-de-Calais
Offin	Communes in Pas-de-Calais
Offrethun	Communes in Pas-de-Calais
Oignies	Communes in Pas-de-Calais
Oisy-le-Verger	Communes in Pas-de-Calais
Oppy, Pas-de-Calais	Communes in Pas-de-Calais
Orville, Pas-de-Calais	Communes in Pas-de-Calais
Ostreville	Communes in Pas-de-Calais
Ourton	Communes in Pas-de-Calais
Outreau	Communes in Pas-de-Calais
Ouve-Wirquin	Communes in Pas-de-Calais
Oye-Plage	Communes in Pas-de-Calais
Palluel	Communes in Pas-de-Calais
Parenty	Communes in Pas-de-Calais
Pas-en-Artois	Communes in Pas-de-Calais
Pelves	Communes in Pas-de-Calais
Penin	Communes in Pas-de-Calais
Pernes, Pas-de-Calais	Communes in Pas-de-Calais
Pernes-lès-Boulogne	Communes in Pas-de-Calais
Peuplingues	Communes in Pas-de-Calais
Pierremont	Communes in Pas-de-Calais
Pihem	Communes in Pas-de-Calais
Pihen-lès-Guînes	Communes in Pas-de-Calais
Pittefaux	Communes in Pas-de-Calais
Planques	Communes in Pas-de-Calais
Plouvain	Communes in Pas-de-Calais
Polincove	Communes in Pas-de-Calais
Pommera	Communes in Pas-de-Calais
Pommier	Communes in Pas-de-Calais
Pont-à-Vendin	Communes in Pas-de-Calais
Pressy	Communes in Pas-de-Calais
Preures	Communes in Pas-de-Calais
Pronville	Communes in Pas-de-Calais
Prédefin	Communes in Pas-de-Calais
Puisieux, Pas-de-Calais	Communes in Pas-de-Calais
Quelmes	Communes in Pas-de-Calais
Quercamps	Communes in Pas-de-Calais
Quernes	Communes in Pas-de-Calais
Quesques	Communes in Pas-de-Calais
Questrecques	Communes in Pas-de-Calais
Quiestède	Communes in Pas-de-Calais
Quilen	Communes in Pas-de-Calais
Quiéry-la-Motte	Communes in Pas-de-Calais
Quéant	Communes in Pas-de-Calais
Quœux-Haut-Maînil	Communes in Pas-de-Calais
Racquinghem	Communes in Pas-de-Calais
Radinghem	Communes in Pas-de-Calais
Ramecourt, Pas-de-Calais	Communes in Pas-de-Calais
Rang-du-Fliers	Communes in Pas-de-Calais
Ransart	Communes in Pas-de-Calais
Raye-sur-Authie	Communes in Pas-de-Calais
Rebecques	Former communes in Pas-de-Calais
Rebergues	Communes in Pas-de-Calais
Rebreuve-Ranchicourt	Communes in Pas-de-Calais
Rebreuve-sur-Canche	Communes in Pas-de-Calais
Rebreuviette	Communes in Pas-de-Calais
Reclinghem	Communes in Pas-de-Calais
Recques-sur-Course	Communes in Pas-de-Calais
Recques-sur-Hem	Communes in Pas-de-Calais
Regnauville	Communes in Pas-de-Calais
Rely, Pas-de-Calais	Communes in Pas-de-Calais
Remilly-Wirquin	Communes in Pas-de-Calais
Renty	Communes in Pas-de-Calais
Rety	Communes in Pas-de-Calais
Richebourg, Pas-de-Calais	Communes in Pas-de-Calais
Riencourt-lès-Bapaume	Communes in Pas-de-Calais
Riencourt-lès-Cagnicourt	Communes in Pas-de-Calais
Rimboval	Communes in Pas-de-Calais
Rinxent	Communes in Pas-de-Calais
Rivière, Pas-de-Calais	Communes in Pas-de-Calais
Robecq	Communes in Pas-de-Calais
Roclincourt	Communes in Pas-de-Calais
Rocquigny, Pas-de-Calais	Communes in Pas-de-Calais
Rodelinghem	Communes in Pas-de-Calais
Rollancourt	Communes in Pas-de-Calais
Rombly	Communes in Pas-de-Calais
Roquetoire	Communes in Pas-de-Calais
Rougefay	Communes in Pas-de-Calais
Roussent	Communes in Pas-de-Calais
Rouvroy, Pas-de-Calais	Communes in Pas-de-Calais
Royon	Communes in Pas-de-Calais
Roëllecourt	Communes in Pas-de-Calais
Ruisseauville	Communes in Pas-de-Calais
Ruitz	Communes in Pas-de-Calais
Rumaucourt	Communes in Pas-de-Calais
Rumilly, Pas-de-Calais	Communes in Pas-de-Calais
Ruminghem	Communes in Pas-de-Calais
Ruyaulcourt	Communes in Pas-de-Calais
Récourt	Communes in Pas-de-Calais
Rémy	Communes in Pas-de-Calais
Rœux	Communes in Pas-de-Calais
Sachin, Pas-de-Calais	Communes in Pas-de-Calais
Sailly-Labourse	Communes in Pas-de-Calais
Sailly-au-Bois	Communes in Pas-de-Calais
Sailly-en-Ostrevent	Communes in Pas-de-Calais
Sailly-sur-la-Lys	Communes in Pas-de-Calais
Sains-en-Gohelle	Communes in Pas-de-Calais
Sains-lès-Fressin	Communes in Pas-de-Calais
Sains-lès-Marquion	Communes in Pas-de-Calais
Sains-lès-Pernes	Communes in Pas-de-Calais
Saint-Amand, Pas-de-Calais	Communes in Pas-de-Calais
Saint-Aubin, Pas-de-Calais	Communes in Pas-de-Calais
Saint-Denœux	Communes in Pas-de-Calais
Saint-Floris	Communes in Pas-de-Calais
Saint-Folquin	Communes in Pas-de-Calais
Saint-Georges, Pas-de-Calais	Communes in Pas-de-Calais
Saint-Hilaire-Cottes	Communes in Pas-de-Calais
Saint-Inglevert	Communes in Pas-de-Calais
Saint-Josse	Communes in Pas-de-Calais
Saint-Laurent-Blangy	Communes in Pas-de-Calais
Saint-Léger, Pas-de-Calais	Communes in Pas-de-Calais
Saint-Léonard, Pas-de-Calais	Communes in Pas-de-Calais
Saint-Martin-Boulogne	Communes in Pas-de-Calais
Saint-Martin-Choquel	Communes in Pas-de-Calais
Saint-Martin-au-Laërt	Former communes in Pas-de-Calais
Saint-Martin-d'Hardinghem	Communes in Pas-de-Calais
Saint-Martin-sur-Cojeul	Communes in Pas-de-Calais
Saint-Michel-sous-Bois	Communes in Pas-de-Calais
Saint-Michel-sur-Ternoise	Communes in Pas-de-Calais
Saint-Nicolas, Pas-de-Calais	Communes in Pas-de-Calais
Saint-Omer	Communes in Pas-de-Calais, Subprefectures in France
Saint-Omer-Capelle	Communes in Pas-de-Calais
Saint-Pol-sur-Ternoise	Communes in Pas-de-Calais
Saint-Rémy-au-Bois	Communes in Pas-de-Calais
Saint-Tricat	Communes in Pas-de-Calais
Saint-Venant	Communes in Pas-de-Calais
Saint-Étienne-au-Mont	Communes in Pas-de-Calais
Sainte-Austreberthe, Pas-de-Calais	Communes in Pas-de-Calais
Sainte-Catherine-lès-Arras	Communes in Pas-de-Calais
Sainte-Marie-Kerque	Communes in Pas-de-Calais
Sallaumines	Communes in Pas-de-Calais
Salperwick	Communes in Pas-de-Calais
Samer	Communes in Pas-de-Calais
Sangatte	Communes in Pas-de-Calais
Sanghen	Communes in Pas-de-Calais
Sapignies	Communes in Pas-de-Calais
Sars-le-Bois	Communes in Pas-de-Calais
Sarton, Pas-de-Calais	Communes in Pas-de-Calais
Sauchy-Cauchy	Communes in Pas-de-Calais
Sauchy-Lestrée	Communes in Pas-de-Calais
Saudemont	Communes in Pas-de-Calais
Saulchoy	Communes in Pas-de-Calais
Saulty	Communes in Pas-de-Calais
Savy-Berlette	Communes in Pas-de-Calais
Selles, Pas-de-Calais	Communes in Pas-de-Calais
Sempy	Communes in Pas-de-Calais
Seninghem	Communes in Pas-de-Calais
Senlecques	Communes in Pas-de-Calais
Senlis, Pas-de-Calais	Communes in Pas-de-Calais
Serques	Communes in Pas-de-Calais
Servins	Communes in Pas-de-Calais
Setques	Communes in Pas-de-Calais
Sibiville	Communes in Pas-de-Calais
Simencourt	Communes in Pas-de-Calais
Siracourt	Communes in Pas-de-Calais
Sombrin	Communes in Pas-de-Calais
Sorrus	Communes in Pas-de-Calais
Souastre	Communes in Pas-de-Calais
Souchez	Communes in Pas-de-Calais
Surques	Communes in Pas-de-Calais
Sus-Saint-Léger	Communes in Pas-de-Calais
Séricourt	Communes in Pas-de-Calais
Tangry	Communes in Pas-de-Calais
Tardinghen	Communes in Pas-de-Calais
Tatinghem	Former communes in Pas-de-Calais
Teneur	Communes in Pas-de-Calais
Ternas	Communes in Pas-de-Calais
Thiembronne	Communes in Pas-de-Calais
Thièvres, Pas-de-Calais	Communes in Pas-de-Calais
Thélus	Communes in Pas-de-Calais
Thérouanne	Communes in Pas-de-Calais
Tigny-Noyelle	Communes in Pas-de-Calais
Tilloy-lès-Hermaville	Communes in Pas-de-Calais
Tilloy-lès-Mofflaines	Communes in Pas-de-Calais
Tilly-Capelle	Communes in Pas-de-Calais
Tilques	Communes in Pas-de-Calais
Tincques	Communes in Pas-de-Calais
Tingry	Communes in Pas-de-Calais
Tollent	Communes in Pas-de-Calais
Torcy, Pas-de-Calais	Communes in Pas-de-Calais
