Kenning	Medieval literature, Poetry, Iceland
New Bloomfield, Pennsylvania	Boroughs in Pennsylvania, County seats in Pennsylvania
Huntingdon County, Pennsylvania	1780s establishments in Pennsylvania, 1787 establishments in the United States, Pennsylvania counties
Montour County, Pennsylvania	1850s establishments in Pennsylvania, 1850 establishments in the United States, Pennsylvania counties
Erie County, Pennsylvania	Pennsylvania counties, 1800s establishments in Pennsylvania, 1803 establishments in the United States
Dent County, Missouri	1851 establishments in Missouri, Missouri counties
Adams County, Pennsylvania	1800 establishments in Pennsylvania, Pennsylvania counties
Armstrong County, Pennsylvania	1800 establishments in Pennsylvania, Pennsylvania counties
Caldwell County, Missouri	1836 establishments in Missouri, Missouri counties
Salem, Missouri	Cities in Missouri, County seats in Missouri
Spencer County, Indiana	1818 establishments in Indiana, Indiana counties
Air Malta	1973 establishments in Europe, Airlines of Europe, Malta
92 (number)	Integers
93 (number)	Integers
Perry County, Missouri	1820 establishments in Missouri Territory, Missouri counties
Clark County, Missouri	1836 establishments in Missouri, Missouri counties
Houston, Missouri	1857 establishments in Missouri, Cities in Missouri, County seats in Missouri
Bloomfield, Missouri	Cities in Missouri, County seats in Missouri
Stoddard County, Missouri	1835 establishments in Missouri, Missouri counties
St. Clair County, Missouri	1841 establishments in Missouri, Missouri counties
Schuyler County, Missouri	1845 establishments in Missouri, Missouri counties
Cedar County, Missouri	1845 establishments in Missouri, Missouri counties
Reynolds County, Missouri	1845 establishments in Missouri, Missouri counties
Yugoslav Wars	Yugoslavia, History of Bosnia and Herzegovina, History of Croatia, Montenegro, History of North Macedonia, History of Serbia, History of Slovenia
Wright County, Missouri	1841 establishments in Missouri, Missouri counties
Camden County, Missouri	1841 establishments in Missouri, Missouri counties
Shelby County, Missouri	1835 establishments in Missouri, Missouri counties
Grandview, Missouri	Cities in Missouri
Phelps County, Missouri	1857 establishments in Missouri, Missouri counties
Webster County, Missouri	1855 establishments in Missouri, Missouri counties
Shannon County, Missouri	1841 establishments in Missouri, Missouri counties
Eminence, Missouri	Cities in Missouri, County seats in Missouri
Scheibbs District	Districts of Lower Austria
Knox County, Missouri	1845 establishments in Missouri, Missouri counties
Hickory County, Missouri	1845 establishments in Missouri, Missouri counties
Hermitage, Missouri	Cities in Missouri, County seats in Missouri
Miami Orange Bowl	Buildings and structures in Miami, Florida, Stadiums in the United States
Tuna sandwich	Sandwiches
Mooresville, North Carolina	Towns in North Carolina
Iredell County, North Carolina	18th-century establishments in North Carolina, 1788 establishments in the United States, North Carolina counties
Statesville, North Carolina	Cities in North Carolina, County seats in North Carolina
Tony Ford (judge)	1942 births, 2020 deaths, New Zealand judges, New Zealand lawyers, New Zealand politicians
Owen Benjamin	1980 births, Living people, American comedians, Comedians from New York, Actors from New York
Bernard Ebbers	1941 births, 2020 deaths, Deaths from dementia, Cardiovascular disease deaths in the United States, Deaths from anemia, Naturalized citizens of the United States, Canadian businesspeople, American fraudsters, Businesspeople from Mississippi, People from Edmonton
Mad Mike Hoare	1919 births, 2020 deaths, Military people, Centenarians, Irish people
Salahuddin Wahid	1942 births, 2020 deaths, Deaths from surgical complications, Indonesian educators, Indonesian politicians
The Gentlemen (2019 movie)	2019 comedy movies, 2010s action comedy movies, 2010s crime movies, American action comedy movies, British action movies, British comedy movies, British crime movies, American crime movies, Movies directed by Guy Ritchie
Duluth, Georgia	Cities in Georgia (U.S. state), Gwinnett County, Georgia
Richmond, Illinois	Villages in Illinois
Hanna Holborn Gray	1930 births, Living people, American historians, American political writers, American educators, Writers from Chicago
Derek Bok	1930 births, Living people, American educators, American lawyers, People from Bryn Mawr, Pennsylvania, Writers from Pennsylvania
Baltistan Peak	Mountains of Pakistan, Gilgit-Baltistan, Karakoram
El Centro, California	Cities in California, County seats in California, Settlements in Imperial County, California
Lakeport, California	Cities in California, County seats in California, Lake County, California
Bat-borne virus	Zoonoses
Frank Shakespeare	1925 births, Living people, Ambassadors of the United States, Politicians from New York City, Businesspeople from New York City, US Republican Party politicians
Richard A. Snelling	1927 births, 1991 deaths, Deaths from myocardial infarction, Governors of Vermont, Businesspeople from Vermont, Businesspeople from Pennsylvania, Politicians from Pennsylvania, People from Allentown, Pennsylvania, US Republican Party politicians
Biratchowk	Settlements in Nepal, Towns in Asia
Rishi Kapoor	1952 births, 2020 deaths, Deaths from bone marrow cancer, Cancer deaths in India, Deaths from respiratory failure, Indian movie actors, Indian movie directors, Indian movie producers
Peter Serkin	Grammy Award winners, 1947 births, 2020 deaths, Deaths from pancreatic cancer, Cancer deaths in New York, American pianists, American educators, Musicians from New York City
Newfane, Vermont	Towns in Vermont, County seats in Vermont
Marlboro, Vermont	Towns in Vermont
VirtualBox	Technology
Northern bat	Bats
Supporting character	Fictional characters
Clipperton Island	Overseas Territories of France
Gas-fired power plant	Power plants
Yoronjima	Ryukyu Islands
Virgin of the Rocks	Paintings by Leonardo da Vinci, Paintings in the National Gallery, London
Bay (horse)	Horses
Yellow-dog contract	Law
Seven Sisters, London	Areas of London, London Borough of Haringey
Image sensor	Sensors
Lake Bonney (South Australia)	Lakes of South Australia
Chicken sandwich	Chicken as food, Sandwiches, American food
The Naked Sun	Novels, Isaac Asimov
Kenneth Anger	1927 births, Living people, American movie actors, American child actors, American novelists, LGBT actors, LGBT screenwriters, LGBT directors, Gay men, Screenwriters from California, LGBT people from California, Movie directors from California, Actors from Santa Monica, California
John Russell (equestrian)	1920 births, 2020 deaths, American centenarians, American Olympic gold medalists, American military personnel of World War II, Sportspeople from Pennsylvania
Dauphin, Pennsylvania	Boroughs in Pennsylvania
Judith Viorst	1931 births, Living people, American children's writers, American psychologists, Researchers, Journalists from New Jersey, Writers from Newark, New Jersey, Scientists from Newark, New Jersey
Center-right	Legislatures, Political philosophy
2011 Stanley Cup Finals	Stanley Cup Finals
Der Fuehrer's Face	1943 movies, American animated movies, 1943 in Europe
Wolfeboro, New Hampshire	Towns in New Hampshire
Ossipee, New Hampshire	County seats in New Hampshire, Towns in New Hampshire
Charlie Hunnam	1980 births, Living people, English movie actors, English television actors, People from Newcastle upon Tyne
Rochester Hills, Michigan	Cities in Michigan
Willie Wood	1936 births, 2020 deaths, Deaths from dementia, Disease-related deaths in Washington, D.C., American football quarterbacks, American football safeties, Green Bay Packers players, Sportspeople from Washington, D.C.
Lexington, Missouri	Cities in Missouri, County seats in Missouri
Lafayette County, Missouri	1820 establishments in Missouri Territory, Missouri counties
Niangua, Missouri	Cities in Missouri
Marshfield, Missouri	Cities in Missouri, County seats in Missouri
Wheatland, Missouri	Cities in Missouri
Moody Awori	1928 births, Living people, Vice presidents, Political writers, Kenyan people
Muztagh Tower	Mountains of China, Mountains of Pakistan, Gilgit-Baltistan, Xinjiang, Karakoram
Colm Meaney	1953 births, Living people, Actors from Dublin, Irish movie actors, Irish stage actors, Irish television actors, Irish voice actors
The Irish Times	1859 establishments, Ireland, Newspapers
The Most Mysterious Song on the Internet	Internet culture
José Luis Cuerda	Goya Award winners, 1947 births, 2020 deaths, Spanish movie directors, Spanish movie producers, Spanish screenwriters
Terry Hands	1941 births, 2020 deaths, English entertainers, People from Hampshire
Nadia Lutfi	1937 births, 2020 deaths, Egyptian actors, People from Cairo
Teodor Shanin	British sociologists, Lithuanian people, Russian scientists, 1930 births, 2020 deaths
Taylor's theorem	Mathematical analysis
Hang	Words
Romanija	Regions of Republika Srpska, Mountains of Europe, Geography of Bosnia and Herzegovina, Republika Srpska
Cherokee Nation v. Georgia	1831, United States Supreme Court cases
Ritual purification	Health, Religion
Monolatry	Religion
Hang (instrument)	Musical instruments
Mendenhall Springs, California	Unincorporated communities in California, Settlements in Alameda County, California
Deaths in March 2020	2020 deaths, March 2020 events
Kino	Musical groups established in 1982, Musical groups disestablished in 1990, Russian musical groups, Rock bands
Viktor Tsoi	1962 births, 1990 deaths, Musicians by genre, Rock musicians, Soviet musicians, Korean musicians, Russian musicians
