Crain Communications Building	Skyscrapers in Chicago, 1984 establishments in the United States, 1980s establishments in Illinois
Jimmy Baker	1910s births, 2010 deaths, Australian painters, Indigenous Australian artists, Pitjantjatjara, Artists from South Australia
Atacama Large Millimeter Array	Telescopes, Astronomical observatories in Chile
Telek	1959 births, Living people, Papua New Guinean people, Singers, Guitarists
Halo 4	2012 video games, Xbox 360-only games, Halo
Jill Stein	2016 United States presidential candidates, 2012 United States presidential candidates, 1950 births, Living people, Politicians from Massachusetts, Politicians from Chicago, Green Party of the United States politicians
Virgil H. Goode, Jr.	1946 births, Living people, United States representatives from Virginia
Dundalk F.C.	Irish football clubs, County Louth
Watatsu-jinja	Shinto shrines, Buildings and structures in Japan
Mass production	Economics
James Murdoch	1972 births, Living people, Businesspeople from New York City, Businesspeople from London
Amy B. Smith	Living people, 1962 births, American inventors
James Murdoch (journalist)	1856 births, 1921 deaths, Japanologists, British historians, Australian academics, Translators
Edmund Papinot	1860 births, 1942 deaths, Japanologists, French historians
Schlumbergera	Cactaceae
Nestor (genus)	Birds of New Zealand, Parrots
Doyle's Delight	Geography of Belize, Mountains of North America
Keel-billed Toucan	Birds of South America, Belize
Kim Hwang-sik	1948 births, Living people, Prime Ministers of South Korea
Bight of Benin	Bays, Geography of Africa
Fon language	Languages of Benin
Yoruba language	Languages of Africa, Niger-Congo languages
South Atlantic Peace and Cooperation Zone	International organizations, United Nations, 1986 establishments, Political organizations, Politics of Africa, Politics of South America
Kuki, Saitama	Settlements in Saitama Prefecture, Cities in Japan
Kang Gyeong-ae	1906 births, 1944 deaths, Korean feminists, Novelists, Korean writers, Autobiographers
First order logic	Logic
Liaqat Hayat	1887 births, 1948 deaths, Indian politicians, Punjabi people
Richard P. Barth	Year of birth missing (living people), Living people, American educators
Tiger Palpatja	1920 births, 2012 deaths, Australian painters, Indigenous Australian artists, Pitjantjatjara, Artists from South Australia
Boidae	Boidae
Angela Fong	1985 births, Living people, Canadian professional wrestlers, Sportspeople from Vancouver
Once Caldas	Colombian football clubs, 1959 establishments, 20th-century establishments in Colombia
Loquat	Tropical fruit, Rosaceae
Chibougamau	Cities and towns in Quebec
Bit (horse)	Horse riding
Mazie Hirono	Naturalized citizens of the United States, US Democratic Party politicians, United States senators from Hawaii, People with cancer, Living people, 1947 births, Lieutenant Governors of Hawaii
Organisation internationale de la Francophonie	1970 establishments, International organizations, French language
Community of Sahel-Saharan States	1998 establishments, International organizations, Economics organizations, Economy of Africa, 1990s establishments in Africa
African Petroleum Producers Association	International organizations, Economics organizations, Economy of Africa
Niger Basin Authority	International organizations, Politics of Africa
Slave Coast	Slavery, Togo, Geography of Benin, Geography of Nigeria
French Dahomey	Benin
People's Republic of Benin	1990 disestablishments, Benin, Former countries in Africa, 1972 establishments, 1970s establishments in Africa, 1990s disestablishments in Africa
Flag of Benin	Benin, National flags
Coat of arms of Benin	Benin, National coats of arms
L'Aube Nouvelle	National anthems, Benin
Zinc finger	Genetic engineering, Enzymes
Mont Sokbaro	Mountains of Africa, Geography of Benin, Hills
John Lawrence	1811 births, 1879 deaths, People of British India
W National Park	National parks in Africa, Biosphere reserves, World Heritage Sites in Africa, Wetlands
Pendjari National Park	Biosphere reserves, National parks in Africa, Geography of Benin
Nkroful	Villages in Africa, Settlements in Ghana
Spring (device)	Engineering
The Fens	Geography of England, East of England
Cult suicide	Cults
Destructive cult	Cults
Doomsday cult	Cults, Religious violence
New religious movement	New religious movements
Richard Hildreth	1807 births, 1865 deaths, American journalists, American historians, Harvard University alumni
George H. Kerr	1911 births, 1992 deaths, American diplomats, American historians
Alice Hathaway Lee Roosevelt	1884 deaths, First Ladies of the United States, Theodore Roosevelt, People from Texas, 1861 births
Richard Mason (historian)	1934 births, Living people, Japanologists, Australian historians
Abdominal migraine	Migraine
Richard Mason (novelist)	1919 births, 1997 deaths, British novelists
Jacques Prévert	1900 births, 1977 deaths, French poets, French screenwriters
Shotokan	Karate
Acephalgic migraine	Migraine
Anal stricture	Diseases and disorders of the digestive system
Mexican standoff	Dispute resolution
Mughal dynasty	History of India, Royal dynasties, Mughal Empire, Dynasties in India
D. H. Lawrence	LGBT writers, Deaths from tuberculosis, English LGBT people, English novelists, Infectious disease deaths in France, People from Nottinghamshire, 1885 births, 1930 deaths
Falconidae	Falconiformes
Louis Cavagnari	1841 births, 1879 deaths, People of British India
Corps of Guides	People of British India, Military of India, Military of Pakistan
Wah Cantonment	Cities in Pakistan
Sable	Mustelids
Civil union	LGBT rights, Family law
Louis Cullen	1932 births, Living people, European diplomats, Historians, Japanologists, Irish scientists
Palin, Arunachal Pradesh	Arunachal Pradesh, Towns in India
Veterinary medicine	Health, Animals, Medicine
Shotokai	1936 establishments in Asia, Martial arts, Sport in Japan, 1930s establishments in Japan
Ryan O'Marra	1987 births, Anaheim Ducks players, Canadian ice hockey centres, Edmonton Oilers players, Living people, Sportspeople from Tokyo, American Hockey League players, ECHL players, Ontario Hockey League players
Kumagaya, Saitama	Settlements in Saitama Prefecture, Cities in Japan
Zomi Revolutionary Army	Nationalist organizations in India, Myanmar, Chittagong Hill Tracts, Separatist movements of India, Rebel militia groups in Asia
Gichin Funakoshi	1868 births, 1957 deaths, Deaths from colorectal cancer, Japanese martial artists
Steve Whitmire	1959 births, Living people, American television actors, Actors from Atlanta, Georgia, Muppets
Jeffrey Mass	1940 births, 2001 deaths, American historians, Japanologists
Foie gras	French food, Spreads, Poultry, Offal
Birdy (musician)	1996 births, Living people, British child singers, English singer-songwriters, Musicians from Hampshire
Staphylococcal infection	Diseases caused by bacteria
Musa Ibrahim	1979 births, Living people, Bangladeshi journalists, Mountain climbers
Solovyev Alexander	1978 births, Living people, Russian conductors
Sidney Altman	1939 births, Living people, American molecular biologists, American Nobel Prize winners, Canadian academics, Canadian Jews, Canadian Nobel Prize winners, Canadian scientists, Columbia University alumni, Jewish academics, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Massachusetts Institute of Technology alumni, Naturalized citizens of the United States, People from Montreal
Brian Cox (actor)	1946 births, Living people, Golden Globe Award winning actors, BAFTA Award winning actors, Emmy Award winning actors, People from Dundee, Scottish movie actors, Scottish stage actors, Scottish television actors, Scottish voice actors
Kathryn Bigelow	1951 births, Living people, American movie directors, American movie producers, American screenwriters, American television directors, Movie directors from California, Movie producers from California, Academy Award winning directors, BAFTA Award winning directors, Saturn Award winners
Mizo National Front	Political parties in India, 1961 establishments in Asia, Mizoram, 1960s establishments in India
Gebhard Leberecht von Blucher	1742 births, 1819 deaths, German generals, People from Rostock
João Goulart	Presidents of Brazil, 1918 births, 1976 deaths, Rio Grande do Sul, Presidents of the Federal Senate
CEU Cardinal Herrera University	1971 establishments in Europe, Colleges and universities in Europe, Valencia, 1970s establishments in Spain
Pakistan national cricket team	Sport in Pakistan, Cricket clubs, 1952 establishments in Asia, 20th century establishments in Pakistan
Government of Bangladesh	Bangladesh
Ricki Lake (TV series)	1993 American television series debuts, 2004 American television series endings, 1990s American television series, 2000s American television series, American television talk shows, English-language television programs
